<TICKER>,<DTYYYYMMDD>,Open,High,Low,Close,Value,Volume,<OPENINT>,<PER>,<OPEN>,<LAST>
Alvand.Tile,20200901,26550,26550,26550,27810,4521863250,170315,42,D,27940,26550
Alvand.Tile,20200831,28850,28850,26930,27940,16478072500,606558,415,D,28340,26930
Alvand.Tile,20200826,27400,29500,27400,28340,1.02335E+11,3610369,1833,D,28840,28010
Alvand.Tile,20200825,27610,27610,27610,28840,6939166080,251328,158,D,29060,27610
Alvand.Tile,20200824,27650,27650,27650,29060,1247346800,45112,18,D,29100,27650
Alvand.Tile,20200823,27740,27740,27740,29100,2828148480,101952,39,D,29190,27740
Alvand.Tile,20200822,28260,28260,28260,29190,17799617520,629852,205,D,29740,28260
Alvand.Tile,20200819,28370,28370,28370,29740,3924138400,138320,67,D,29860,28370
Alvand.Tile,20200818,31000,31900,29450,29860,27414460000,903084,405,D,29310,29450
Alvand.Tile,20200811,28040,28040,28040,29310,6072594760,216569,148,D,29510,28040
Alvand.Tile,20200810,29110,29710,28880,29510,28609523120,987483,598,D,30390,28880
Alvand.Tile,20200809,32000,32000,29710,30390,66246025370,2179971,1660,D,31270,29710
Alvand.Tile,20200805,32000,32000,30680,31270,78894696090,2522942,1750,D,30580,31500
Alvand.Tile,20200804,31110,32900,30040,30580,1.49386E+11,4885053,2366,D,31470,32000
Alvand.Tile,20200803,31400,32900,30790,31470,93391862850,2967815,1742,D,32410,30800
Alvand.Tile,20200802,32200,35580,32200,32410,1.60753E+11,4959933,2823,D,33890,32200
Alvand.Tile,20200801,35500,35900,32900,33890,1.76588E+11,5211178,3172,D,34510,33030
Alvand.Tile,20200729,33680,34750,32000,34510,1.56262E+11,4528567,2627,D,33100,34750
Alvand.Tile,20200728,33140,33140,32000,33100,2.01593E+11,6090424,2628,D,31570,33140
Alvand.Tile,20200727,30550,31810,30300,31570,1.67715E+11,5312041,2092,D,30300,31810
Alvand.Tile,20200726,31300,31300,29350,30300,57069539530,1883239,1246,D,30820,29900
Alvand.Tile,20200725,31480,31480,29400,30820,87520385960,2839951,1929,D,30120,30790
Alvand.Tile,20200722,30600,31200,29660,30120,88978869250,2954586,1873,D,31220,30350
Alvand.Tile,20200721,31700,33150,30030,31220,1.44932E+11,4641952,2636,D,31610,30600
